Date,2022/01/17
Time,18:17:36,
Sampling Number,8192,Flicker (MAX) [dB],-8.266
Weighting Factor,None,Detected Freq. [Hz],0.366
Decimation Interval,1,Max. [cd/m²],159.983
Flicker Output Sensor,XYZ,Min. [cd/m²],50.546
Light Receiving Sensor,Y (Lv),Ave. [cd/m²],93.796

Time [sec],Original Data,Weighted Data,
0,154.90933,
0.000333333333333333,154.81297,
0.000666666666666667,154.6676,
0.001,154.54704,
0.00133333333333333,154.45364,
0.00166666666666667,154.33414,
0.002,154.22037,
0.00233333333333333,154.15131,
0.00266666666666667,153.97385,
0.003,147.71587,
0.00333333333333333,138.86984,
0.00366666666666667,140.96449,
0.004,153.08812,
0.00433333333333333,159.74693,
0.00466666666666667,159.93355,
0.005,159.89784,
0.00533333333333333,159.81583,
0.00566666666666667,159.61462,
0.006,159.46422,
0.00633333333333333,159.26598,
0.00666666666666667,159.11113,
0.007,158.91805,
0.00733333333333333,158.756,
0.00766666666666667,158.66679,
0.008,158.4687,
0.00833333333333333,158.24799,
0.00866666666666667,158.07339,
0.009,158.00743,
0.00933333333333333,157.78432,
0.00966666666666667,157.6122,
0.01,157.58633,
0.0103333333333333,157.34323,
0.0106666666666667,157.21483,
0.011,157.10381,
0.0113333333333333,156.92151,
0.0116666666666667,156.74446,
0.012,156.48882,
0.0123333333333333,156.34152,
0.0126666666666667,156.32663,
0.013,156.28592,
0.0133333333333333,156.30205,
0.0136666666666667,156.12302,
0.014,155.98207,
0.0143333333333333,155.90167,
0.0146666666666667,155.71457,
0.015,155.6906,
0.0153333333333333,155.5332,
0.0156666666666667,155.43456,
0.016,155.27017,
0.0163333333333333,155.18919,
0.0166666666666667,155.03107,
0.017,155.0038,
0.0173333333333333,154.82155,
0.0176666666666667,154.73953,
0.018,154.59329,
0.0183333333333333,154.52548,
0.0186666666666667,154.3409,
0.019,154.3166,
0.0193333333333333,151.70915,
0.0196666666666667,140.84773,
0.02,139.09276,
0.0203333333333333,147.68364,
0.0206666666666667,158.65825,
0.021,159.75067,
0.0213333333333333,159.74532,
0.0216666666666667,159.69763,
0.022,159.36751,
0.0223333333333333,159.34251,
0.0226666666666667,159.18161,
0.023,158.98099,
0.0233333333333333,158.83244,
0.0236666666666667,158.63057,
0.024,158.45566,
0.0243333333333333,158.29704,
0.0246666666666667,158.13095,
0.025,157.96965,
0.0253333333333333,157.81519,
0.0256666666666667,157.66241,
0.026,157.59926,
0.0263333333333333,157.39006,
0.0266666666666667,157.21585,
0.027,157.05511,
0.0273333333333333,156.99907,
0.0276666666666667,156.85211,
0.028,156.71642,
0.0283333333333333,156.48354,
0.0286666666666667,156.25478,
0.029,156.08641,
0.0293333333333333,156.14755,
0.0296666666666667,156.10193,
0.03,156.07071,
0.0303333333333333,155.88045,
0.0306666666666667,155.79333,
0.031,155.64311,
0.0313333333333333,155.55711,
0.0316666666666667,155.35751,
0.032,155.3217,
0.0323333333333333,155.15472,
0.0326666666666667,155.07387,
0.033,154.94084,
0.0333333333333333,154.78432,
0.0336666666666667,154.72075,
0.034,154.57112,
0.0343333333333333,154.48041,
0.0346666666666667,154.33476,
0.035,154.26952,
0.0353333333333333,154.17574,
0.0356666666666667,153.62593,
0.036,144.48535,
0.0363333333333333,138.44928,
0.0366666666666667,143.10068,
0.037,156.18582,
0.0373333333333333,159.73833,
0.0376666666666667,159.91621,
0.038,159.76469,
0.0383333333333333,159.62756,
0.0386666666666667,159.47542,
0.039,159.28563,
0.0393333333333333,159.13728,
0.0396666666666667,158.98836,
0.04,158.79918,
0.0403333333333333,158.61087,
0.0406666666666667,158.45348,
