Date,1/17/2022,,
Time,18:14:57,,
Sampling Number,8192,Flicker (MAX) [dB],2.42
Weighting Factor,None,Detected Freq. [Hz],0.366
Decimation Interval,1,Max. [cd/m²],64.451
Flicker Output Sensor,XYZ,Min. [cd/m²],0.297
Light Receiving Sensor,Y (Lv),Ave. [cd/m²],7.684
,,,
Time [sec],Original Data,Weighted Data,
0,63.499126,,
0.000333333,63.604813,,
0.000666667,63.628403,,
0.001,63.55463,,
0.001333333,63.486931,,
0.001666667,63.475769,,
0.002,63.385136,,
0.002333333,63.360626,,
0.002666667,63.308365,,
0.003,63.29105,,
0.003333333,63.223423,,
0.003666667,63.221157,,
0.004,63.121822,,
0.004333333,63.123264,,
0.004666667,63.047775,,
0.005,63.023609,,
0.005333333,62.996082,,
0.005666667,62.969807,,
0.006,62.904724,,
0.006333333,62.834816,,
0.006666667,62.809654,,
0.007,62.594894,,
0.007333333,57.124504,,
0.007666667,51.097992,,
0.008,52.217102,,
0.008333333,60.108353,,
0.008666667,63.756165,,
0.009,64.129959,,
0.009333333,64.288322,,
0.009666667,64.369141,,
0.01,64.38031,,
0.010333333,64.364838,,
0.010666667,64.382339,,
0.011,64.324051,,
0.011333333,64.299919,,
0.011666667,64.273445,,
0.012,64.221664,,
0.012333333,64.182373,,
0.012666667,64.149704,,
0.013,64.108513,,
0.013333333,64.05262,,
0.013666667,64.029305,,
0.014,63.943859,,
0.014333333,63.942513,,
0.014666667,63.865776,,
0.015,63.867744,,
0.015333333,63.769115,,
0.015666667,63.762775,,
0.016,63.655342,,
0.016333333,63.542755,,
0.016666667,63.509796,,
0.017,63.678284,,
0.017333333,63.612011,,
0.017666667,63.551765,,
0.018,63.471336,,
0.018333333,63.449265,,
0.018666667,63.370049,,
0.019,63.330677,,
0.019333333,63.310966,,
0.019666667,63.242546,,
0.02,63.213436,,
0.020333333,63.172707,,
0.020666667,63.09444,,
0.021,63.08688,,
0.021333333,63.053211,,
0.021666667,62.986992,,
0.022,62.942539,,
0.022333333,62.919933,,
0.022666667,62.858284,,
0.023,62.826962,,
0.023333333,62.77356,,
0.023666667,60.132324,,
0.024,52.435345,,
0.024333333,50.998215,,
0.024666667,56.80534,,
0.025,63.194225,,
0.025333333,63.966537,,
0.025666667,64.187355,,
0.026,64.286362,,
0.026333333,64.347595,,
0.026666667,64.309158,,
0.027,64.324768,,
0.027333333,64.289139,,
0.027666667,64.255676,,
0.028,64.252472,,
